n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
0,             0,               0,              1,         0,           0,          0,             0,               0,              0,        2,          0,         2
1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        2,          0,         1
2,             1,               0,              1,         1,           2,          4,             1,               0,              1,        9,          2,         4
3,             3,               2,              2,         3,           2,          4,             3,               2,              1,       15,          4,         3
4,             6,               4,              1,         8,           5,          4,             6,               2,              2,       25,          6,         4
5,             9,               6,              1,        12,           8,          5,            10,               4,              5,       34,          8,        13
6,            12,               8,              2,        16,           9,          9,            15,               4,              6,       48,         12,         8
7,            18,              13,              4,        21,          11,         11,            21,               5,              4,       58,         15,        10
8,            19,              13,              4,        28,          13,         12,            28,               5,              9,       79,         21,        13
9,            27,              20,              7,        26,          13,         11,            36,               4,             13,       94,         24,        16
