 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 0,             0,               0,              1,         0,           0,          0,             0,               0,              0,        2,          0,         1
 1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        2,          0,         1
 2,             1,               0,              0,         1,           2,          3,             1,               0,              1,        9,          2,         4
 3,             2,               0,              0,         3,           4,          4,             3,               0,              1,       15,          4,         3
 4,             4,               1,              1,         5,           4,          4,             6,               1,              2,       26,          7,         7
 5,             8,               5,              4,         9,           6,          9,            10,               3,             75,       34,          9,        13
 6,            13,               9,              4,        14,           9,         10,            15,               5,              2,       50,         13,         7
 7,            15,              10,              5,        19,           8,          7,            21,               6,              3,       61,         16,         9
 8,            17,              11,              3,        24,          12,          8,            28,               7,              3,       79,         21,        11
 9,            20,              13,              3,        26,          14,          9,            36,               7,              3,       94,         25,         7
10,            21,              13,              2,        35,          16,          9,            45,               7,              3,      110,         29,         8
